config_mobilenet_v3_small_float32__xnnpack_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float32,xnnpack_cpu/1t,reported
config_mobilenet_v3_small_float32__xnnpack_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float32,xnnpack_cpu/2t,reported
config_mobilenet_v3_small_float32__xnnpack_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,float32,xnnpack_cpu/4t,reported
config_mobilenet_v3_small_full_int8__builtin_cpu__1t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,full_int8,builtin_cpu/1t,reported
config_mobilenet_v3_small_full_int8__builtin_cpu__2t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,full_int8,builtin_cpu/2t,reported
config_mobilenet_v3_small_full_int8__builtin_cpu__4t,results/final/table_configuration_results.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,full_int8,builtin_cpu/4t,reported
error_mobilenet_v3_small_full_int8_xnnpack_cpu_1t_trial1,results/final/table_configuration_errors.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,full_int8,xnnpack_cpu/1t,preserved_configuration_error
error_mobilenet_v3_small_full_int8_xnnpack_cpu_4t_trial1,results/final/table_configuration_errors.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,full_int8,xnnpack_cpu/4t,preserved_configuration_error
error_mobilenet_v3_small_full_int8_xnnpack_cpu_2t_trial1,results/final/table_configuration_errors.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,full_int8,xnnpack_cpu/2t,preserved_configuration_error
error_mobilenet_v3_small_full_int8_xnnpack_cpu_1t_trial2,results/final/table_configuration_errors.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,full_int8,xnnpack_cpu/1t,preserved_configuration_error
error_mobilenet_v3_small_full_int8_xnnpack_cpu_4t_trial2,results/final/table_configuration_errors.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,full_int8,xnnpack_cpu/4t,preserved_configuration_error
error_mobilenet_v3_small_full_int8_xnnpack_cpu_2t_trial2,results/final/table_configuration_errors.csv,android_protocol_1_2_bounded_trials_1_2_exploratory,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv,scripts/audit_final_benchmark.py;scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,mobilenet_v3_small,full_int8,xnnpack_cpu/2t,preserved_configuration_error
supplement_accuracy_latency_tradeoff_pdf,results/final/publication_supplement/figures/accuracy_latency_tradeoff.pdf,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_accuracy_latency_tradeoff_png,results/final/publication_supplement/figures/accuracy_latency_tradeoff.png,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_benchmark_distribution_pdf,results/final/publication_supplement/figures/benchmark_distribution.pdf,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_benchmark_distribution_png,results/final/publication_supplement/figures/benchmark_distribution.png,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_latency_comparison_pdf,results/final/publication_supplement/figures/latency_comparison.pdf,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_latency_comparison_png,results/final/publication_supplement/figures/latency_comparison.png,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_model_architecture_pdf,results/final/publication_supplement/figures/model_architecture.pdf,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_model_architecture_png,results/final/publication_supplement/figures/model_architecture.png,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_model_size_comparison_pdf,results/final/publication_supplement/figures/model_size_comparison.pdf,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_model_size_comparison_png,results/final/publication_supplement/figures/model_size_comparison.png,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_pareto_front_pdf,results/final/publication_supplement/figures/pareto_front.pdf,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_pareto_front_png,results/final/publication_supplement/figures/pareto_front.png,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_runtime_comparison_pdf,results/final/publication_supplement/figures/runtime_comparison.pdf,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_runtime_comparison_png,results/final/publication_supplement/figures/runtime_comparison.png,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_table_1_dataset_training_configuration_csv,results/final/publication_supplement/tables/table_1_dataset_training_configuration.csv,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_table_2_model_architecture_comparison_csv,results/final/publication_supplement/tables/table_2_model_architecture_comparison.csv,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_table_3_accuracy_metrics_csv,results/final/publication_supplement/tables/table_3_accuracy_metrics.csv,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_table_4_quantization_model_sizes_csv,results/final/publication_supplement/tables/table_4_quantization_model_sizes.csv,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_table_5_android_latency_statistics_csv,results/final/publication_supplement/tables/table_5_android_latency_statistics.csv,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_table_6_memory_measurements_csv,results/final/publication_supplement/tables/table_6_memory_measurements.csv,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_table_7_runtime_delegate_comparison_csv,results/final/publication_supplement/tables/table_7_runtime_delegate_comparison.csv,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_table_8_pareto_efficient_configurations_csv,results/final/publication_supplement/tables/table_8_pareto_efficient_configurations.csv,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
supplement_table_9_hardware_aware_recommendations_csv,results/final/publication_supplement/tables/table_9_hardware_aware_recommendations.csv,publication_derivation,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/generate_publication_supplement.py,2026-08-22,realme_RMX3760_api35,,,,reported
manuscript_figure_1,results/final/figures/figure_1_accuracy_size.png,final_analysis,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,,,,reported
manuscript_figure_2,results/final/figures/figure_2_latency.png,final_analysis,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,,,,reported
manuscript_figure_3,results/final/figures/figure_3_latency.png,final_analysis,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,,,,reported
manuscript_figure_4,results/final/figures/figure_4_pareto.png,final_analysis,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,,,,reported
manuscript_figure_5,results/final/figures/figure_5_rank_stability.png,final_analysis,benchmark/raw/final_realme_RMX3760_protocol1_2_bounded_trials_1_2.csv;results/final/final_test_report.json,scripts/analyze_final_results.py,2026-08-22,realme_RMX3760_api35,,,,reported
